name smarts
KRFP1932 [!#1]c1[cH]c([!#1])c([!#1])c([!#1])[cH]1
KRFP4740 Oc1ccc2ccccc2c1
KRFP3139 c1ccc2ccccc2c1
KRFP2949 [OH]
KRFP3592 Cc1cccc2ccccc12
KRFP3751 CCN(C)C
KRFP3719 CCCCCCC
KRFP1148 [!#1][OH]
PubchemFP590 C-C:C-O-[#1]
PubchemFP714 Cc1ccc(O)cc1
PubchemFP659 O-C-C-N-C
