,molecule_chembl_id,canonical_smiles,pchembl_value_mean,pchembl_value_std,inchi
14,416,CC(C)Oc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc2c1F,5.710746,0.0,"InChI=1S/C30H36F2N6O2/c1-18(2)40-24-7-4-3-6-22(24)26-25(32)27-23(13-33-26)28(37-15-20-8-9-21(16-37)34-20)36-29(35-27)39-17-30-10-5-11-38(30)14-19(31)12-30/h3-4,6-7,13,18-21,34H,5,8-12,14-17H2,1-2H3"
15,358,CN1CCC(Oc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)C1,5.744564,0.058493,"InChI=1S/C28H28ClFN6O/c1-35-11-10-19(15-35)37-28-33-26-21(27(34-28)36-13-17-8-9-18(14-36)32-17)12-31-25(24(26)30)20-6-2-4-16-5-3-7-22(29)23(16)20/h2-7,12,17-19,32H,8-11,13-15H2,1H3"
16,323,CN1CCCC1(CO)COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4ccccc34)c(F)c2n1,5.772293,0.0,"InChI=1S/C30H33FN6O2/c1-36-13-5-12-30(36,17-38)18-39-29-34-27-24(28(35-29)37-15-20-10-11-21(16-37)33-20)14-32-26(25(27)31)23-9-4-7-19-6-2-3-8-22(19)23/h2-4,6-9,14,20-21,33,38H,5,10-13,15-18H2,1H3"
17,218,Fc1c(-c2cccc3cccc(F)c23)ncc2c(N3CC4CCC(C3)N4)nc(CCC34CCCN3CCC4)nc12,5.79588,0.0,"InChI=1S/C32H34F2N6/c33-25-8-2-6-20-5-1-7-23(27(20)25)29-28(34)30-24(17-35-29)31(39-18-21-9-10-22(19-39)36-21)38-26(37-30)11-14-32-12-3-15-40(32)16-4-13-32/h1-2,5-8,17,21-22,36H,3-4,9-16,18-19H2"
18,576,CN1CCCC1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cc(O)c(Cl)c3ccccc13)C2,5.865632,0.0,"InChI=1S/C29H35ClN6O2/c1-34-11-4-5-20(34)17-38-29-32-24-16-35(25-13-26(37)27(30)22-7-3-2-6-21(22)25)12-10-23(24)28(33-29)36-14-18-8-9-19(15-36)31-18/h2-3,6-7,13,18-20,31,37H,4-5,8-12,14-17H2,1H3"
19,67,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCCc4ccccc4F)nc3c2F)c2ccccc2c1,5.904622,0.0,"InChI=1S/C31H27F2N5O2/c32-26-8-4-2-5-18(26)11-12-40-31-36-29-25(30(37-31)38-16-20-9-10-21(17-38)35-20)15-34-28(27(29)33)24-14-22(39)13-19-6-1-3-7-23(19)24/h1-8,13-15,20-21,35,39H,9-12,16-17H2"
20,621,CCC1CN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4ccccc24)C3)CCN1,5.951209,0.0,"InChI=1S/C29H38N6O/c1-3-22-18-35(17-14-30-22)28-25-13-16-34(27-12-6-9-21-8-4-5-11-24(21)27)19-26(25)31-29(32-28)36-20-23-10-7-15-33(23)2/h4-6,8-9,11-12,22-23,30H,3,7,10,13-20H2,1-2H3"
21,141,Nc1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)cn1,6.050074,0.0,"InChI=1S/C30H27ClFN7O/c31-23-6-2-4-18-3-1-5-21(25(18)23)27-26(32)28-22(14-35-27)29(39-15-19-8-9-20(16-39)36-19)38-30(37-28)40-12-11-17-7-10-24(33)34-13-17/h1-7,10,13-14,19-20,36H,8-9,11-12,15-16H2,(H2,33,34)"
22,352,Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC3CC(F)(F)CN3)nc12,6.073246,0.0,"InChI=1S/C28H26ClF3N6O/c29-21-6-2-4-15-3-1-5-19(22(15)21)24-23(30)25-20(10-33-24)26(38-11-16-7-8-17(12-38)35-16)37-27(36-25)39-13-18-9-28(31,32)14-34-18/h1-6,10,16-18,34-35H,7-9,11-14H2"
23,171,OCc1nccn1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,6.120675,0.0,"InChI=1S/C29H27ClFN7O2/c30-22-6-2-4-17-3-1-5-20(24(17)22)26-25(31)27-21(13-33-26)28(38-14-18-7-8-19(15-38)34-18)36-29(35-27)40-12-11-37-10-9-32-23(37)16-39/h1-6,9-10,13,18-19,34,39H,7-8,11-12,14-16H2"
24,112,Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4ccc(F)cc34)c(F)c2n1,6.143634,0.0,"InChI=1S/C29H27F2N7O/c1-37-11-10-32-24(37)9-12-39-29-35-27-23(28(36-29)38-15-19-7-8-20(16-38)34-19)14-33-26(25(27)31)21-4-2-3-17-5-6-18(30)13-22(17)21/h2-6,10-11,13-14,19-20,34H,7-9,12,15-16H2,1H3"
25,162,CN1CCCC1COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4c3C3(CC4)CC3)c(F)c2n1,6.169219,0.0,"InChI=1S/C30H35FN6O/c1-36-13-3-5-21(36)17-38-29-34-27-23(28(35-29)37-15-19-7-8-20(16-37)33-19)14-32-26(25(27)31)22-6-2-4-18-9-10-30(11-12-30)24(18)22/h2,4,6,14,19-21,33H,3,5,7-13,15-17H2,1H3"
26,648,c1cc2c(c(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4CC5CCC(C4)N5)C3)c1)C(C1CC1)CC2,6.184356,0.0,"InChI=1S/C33H44N6O/c1-4-23-8-11-26(22-6-7-22)30(23)29(5-1)37-17-12-27-28(20-37)35-32(40-21-33-13-2-15-39(33)16-3-14-33)36-31(27)38-18-24-9-10-25(19-38)34-24/h1,4-5,22,24-26,34H,2-3,6-21H2"
27,417,CC(C)Cc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc2c1F,6.225702,0.0,"InChI=1S/C31H38F2N6O/c1-19(2)12-20-6-3-4-7-24(20)27-26(33)28-25(14-34-27)29(38-16-22-8-9-23(17-38)35-22)37-30(36-28)40-18-31-10-5-11-39(31)15-21(32)13-31/h3-4,6-7,14,19,21-23,35H,5,8-13,15-18H2,1-2H3"
28,181,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)ncnc3c2F)c2ccccc2c1,6.242225,0.0,"InChI=1S/C23H20FN5O/c24-20-21(18-8-16(30)7-13-3-1-2-4-17(13)18)25-9-19-22(20)26-12-27-23(19)29-10-14-5-6-15(11-29)28-14/h1-4,7-9,12,14-15,28,30H,5-6,10-11H2"
29,87,Cc1cccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)n1,6.27116,0.0,"InChI=1S/C31H29FN6O2/c1-18-5-4-7-20(34-18)11-12-40-31-36-29-26(30(37-31)38-16-21-9-10-22(17-38)35-21)15-33-28(27(29)32)25-14-23(39)13-19-6-2-3-8-24(19)25/h2-8,13-15,21-22,35,39H,9-12,16-17H2,1H3"
30,237,Oc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,6.300769,0.0,"InChI=1S/C31H33FN6O2/c32-26-27(22-7-1-5-19-6-2-8-24(39)25(19)22)33-15-23-28(26)35-30(40-18-31-11-3-13-38(31)14-4-12-31)36-29(23)37-16-20-9-10-21(17-37)34-20/h1-2,5-8,15,20-21,34,39H,3-4,9-14,16-18H2"
31,35,OCC(CO)COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,6.323307,0.0,"InChI=1S/C27H27ClFN5O3/c28-21-6-2-4-16-3-1-5-19(22(16)21)24-23(29)25-20(9-30-24)26(34-10-17-7-8-18(11-34)31-17)33-27(32-25)37-14-15(12-35)13-36/h1-6,9,15,17-18,31,35-36H,7-8,10-14H2"
32,48,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC(F)(F)F)nc3c2F)c2ccccc2c1,6.36261,0.0,"InChI=1S/C25H21F4N5O2/c26-20-21(18-8-16(35)7-13-3-1-2-4-17(13)18)30-9-19-22(20)32-24(36-12-25(27,28)29)33-23(19)34-10-14-5-6-15(11-34)31-14/h1-4,7-9,14-15,31,35H,5-6,10-12H2"
33,37,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(N4CC(O)C4)nc3c2F)c2ccccc2c1,6.392759,0.0,"InChI=1S/C26H25FN6O2/c27-22-23(20-8-17(34)7-14-3-1-2-4-19(14)20)28-9-21-24(22)30-26(33-12-18(35)13-33)31-25(21)32-10-15-5-6-16(11-32)29-15/h1-4,7-9,15-16,18,29,34-35H,5-6,10-13H2"
34,103,Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCCCN3CC4CC3CO4)nc12,6.430626,0.0,"InChI=1S/C31H32ClFN6O2/c32-25-7-2-5-18-4-1-6-23(26(18)25)28-27(33)29-24(13-34-28)30(39-14-19-8-9-20(15-39)35-19)37-31(36-29)40-11-3-10-38-16-22-12-21(38)17-41-22/h1-2,4-7,13,19-22,35H,3,8-12,14-17H2"
35,303,Fc1c(-c2ccccc2OC(F)F)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12,6.446967,0.0,"InChI=1S/C28H31F3N6O2/c29-22-23(19-5-1-2-6-21(19)39-26(30)31)32-13-20-24(22)34-27(38-16-28-9-3-11-37(28)12-4-10-28)35-25(20)36-14-17-7-8-18(15-36)33-17/h1-2,5-6,13,17-18,26,33H,3-4,7-12,14-16H2"
36,25,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCCN4CCOCC4)nc3c2F)c2ccccc2c1,6.47057,0.0,"InChI=1S/C29H31FN6O3/c30-25-26(23-14-21(37)13-18-3-1-2-4-22(18)23)31-15-24-27(25)33-29(39-12-9-35-7-10-38-11-8-35)34-28(24)36-16-19-5-6-20(17-36)32-19/h1-4,13-15,19-20,32,37H,5-12,16-17H2"
37,240,NC(=O)Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,6.501966,0.0,"InChI=1S/C33H36FN7O2/c34-28-29(24-8-2-6-20-5-1-7-21(27(20)24)15-26(35)42)36-16-25-30(28)38-32(43-19-33-11-3-13-41(33)14-4-12-33)39-31(25)40-17-22-9-10-23(18-40)37-22/h1-2,5-8,16,22-23,37H,3-4,9-15,17-19H2,(H2,35,42)"
38,609,CCC1CN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cncc4cccc(Cl)c24)C3)CCN1,6.548367,0.0,"InChI=1S/C28H36ClN7O/c1-3-20-16-36(13-10-31-20)27-22-9-12-35(25-15-30-14-19-6-4-8-23(29)26(19)25)17-24(22)32-28(33-27)37-18-21-7-5-11-34(21)2/h4,6,8,14-15,20-21,31H,3,5,7,9-13,16-18H2,1-2H3"
39,554,CN1CCCC1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2,6.574303,0.0,"InChI=1S/C29H35ClN6O/c1-34-13-4-7-22(34)18-37-29-32-25-17-35(26-9-3-6-19-5-2-8-24(30)27(19)26)14-12-23(25)28(33-29)36-15-20-10-11-21(16-36)31-20/h2-3,5-6,8-9,20-22,31H,4,7,10-18H2,1H3"
40,68,COCCCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,6.590744,0.0,"InChI=1S/C27H28FN5O3/c1-35-9-4-10-36-27-31-25-22(26(32-27)33-14-17-7-8-18(15-33)30-17)13-29-24(23(25)28)21-12-19(34)11-16-5-2-3-6-20(16)21/h2-3,5-6,11-13,17-18,30,34H,4,7-10,14-15H2,1H3"
41,437,Fc1c(-c2cccc3c2C(C2CC2)CC3)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc12,6.631341,0.0,"InChI=1S/C33H38F2N6O/c34-21-13-33(11-2-12-41(33)15-21)18-42-32-38-30-26(31(39-32)40-16-22-8-9-23(17-40)37-22)14-36-29(28(30)35)25-4-1-3-20-7-10-24(27(20)25)19-5-6-19/h1,3-4,14,19,21-24,37H,2,5-13,15-18H2"
42,167,Cc1nccn1CCOc1nc(N2CC3CC(O)C(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,6.645507,0.0,"InChI=1S/C29H27ClFN7O2/c1-16-32-8-9-37(16)10-11-40-29-35-27-20(28(36-29)38-14-18-12-23(39)22(15-38)34-18)13-33-26(25(27)31)19-6-2-4-17-5-3-7-21(30)24(17)19/h2-9,13,18,22-23,34,39H,10-12,14-15H2,1H3"
43,396,Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CC(F)C(C3)N4)nc(OCC34CCCN3CC(F)C4)nc12,6.68445,0.0,"InChI=1S/C31H30ClF3N6O/c32-22-7-2-5-17-4-1-6-20(25(17)22)27-26(35)28-21(12-36-27)29(40-14-19-10-23(34)24(15-40)37-19)39-30(38-28)42-16-31-8-3-9-41(31)13-18(33)11-31/h1-2,4-7,12,18-19,23-24,37H,3,8-11,13-16H2"
44,74,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(N4CC5(CCOCC5)C4)nc3c2F)c2ccccc2c1,6.72538,0.0,"InChI=1S/C30H31FN6O2/c31-25-26(23-12-21(38)11-18-3-1-2-4-22(18)23)32-13-24-27(25)34-29(37-16-30(17-37)7-9-39-10-8-30)35-28(24)36-14-19-5-6-20(15-36)33-19/h1-4,11-13,19-20,33,38H,5-10,14-17H2"
