	id	canonical_smiles	pIC50_mean	pIC50_std
120	136	Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC3CCCO3)nc12	5.4338126	0.20600908
82	94	Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4ccccc34)c(F)c2n1	5.43741	0
139	155	OC1CC2CN(c3nc(OCCC(F)(F)F)nc4c(F)c(-c5cccc6cccc(Cl)c56)ncc34)CC1N2	5.466355	0
107	122	CN(C)C1CN(c2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)C1	5.486077	0
246	267	Oc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F	5.4865694	0
285	307	CC(C)c1ncccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F	5.4997225	0
65	77	OCC1CCCN1c1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1	5.503402	0
557	593	CN1CCCC1COc1nc2c(c(N3CC4CC(O)(C(F)F)C(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2	5.504678	0
358	385	COc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CC(F)C5)nc3c2F)c2ccccc2c1	5.5109844	0
586	637	OC1CC2CN(c3nc(OCCC(F)(F)F)nc4c3CCN(c3cccc5cccc(Cl)c35)C4)CC1N2	5.537557	0
101	113	Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCCc3cccnc3)nc12	5.542709	0
191	209	CN1CC(Oc2ccc(S(=O)(=O)F)cc2)CC1COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1	5.5611887	0
334	361	COc1ccc(OC(F)(F)F)c(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CC(F)C5)nc3c2F)c1	5.568588	0
555	591	CN1CCCC1COc1nc2c(c(N3CC4CC(CCN)C(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2	5.569538	0
